Question Number,Question,Option A,Option B,Option C,Option D,Option E,correct_indices
1,A selection in which the order of choice is important is known as,Arrangement,Ordering,Permutation,Combination,None of the above,2
2,Evaluate $¹°P7$,5040,30240,151200,604800,None of the above,3
3,Evaluate $¹²P6$,84,95040,665280,3991680,None of the above,2
4,Find r if $¹³C_r$ is equal to $¹³C_x$ (based on options),"(13, 5)","(13, 9)","(13, 7)","(5, 13)",None of the above,-1
5,Find r if $¹5C_r$ is equal to $¹5C_x$ (based on options),"(15, 5)","(15, 7)","(15, 8)","(15, 9)",None of the above,-1
6,Find r if $²°C_r$ is equal to $²°C_x$ (based on options),"(20, 6)","(20, 7)","(20, 12)","(20, 14)",None of the above,-1
7,How many ways can the word GREATER be arranged?,$7!/2!$,$7!/(2!*2!)$,$7!$,$7!/3!$,None of the above,1
8,How many ways can the word CALCULUS be arranged?,$8!/2!$,$8!/(2!*2!)$,$8!/(2!*2!*2!)$,$8!$,None of the above,2
9,There are 12 volumes (numbered 1 to 12) of a certain dictionary and a shelf will only hold 8 of them. In how many ways can you arrange the books in the shelf?,$¹²P8$,$¹²C8$,12!,8!,None of the above,0
10,There are 15 different cards in a pack and one person can only hold 6 of them. In how many ways can the cards be arranged?,$¹5P6$,$¹5C6$,15!,6!,None of the above,0
11,"How many three digit numbers can be formed using the digits 4, 5, 6, if no repetitions are allowed?",3 digit numbers,4 digit numbers,5 digit numbers,6,None of the above,3
12,"How many three digit numbers can be formed using the digits 4, 5, 6, if any digit can be used more than once with repetitions?",3 digit numbers,4 digit numbers,5 digit numbers,6 digit numbers,None of the above (27),4
13,In how many ways can the letters of the word PENCIL be arranged?,2!,4!,6!,7!,None of the above,2
14,"From the word PENCIL, in how many ways can it be arranged by beginning with E?",80 ways,120 ways,160 ways,200 ways,None of the above,1
15,"From the word PENCIL, how many ways can it be arranged by starting with the letter E and end with the letter P?",24 ways,32 ways,64 ways,68 ways,None of the above,0
16,Which of the following is true?,$n! = n(n-1)!$,$n! = n(n-1)$,$n! = n(n-2)!$,$n! = n²(n-1)!$,None of the above,0
17,Which of the following is true?,$°P0 = 0$,$°P0 = 1$,$°P0 = infinity$,$°P0 = n$,None of the above,1
18,"A board has 5 directors A, B, C, D, E, if committees of 3 members each are to be constituted, how many committees are possible?",5,10,15,20,None of the above,1
19,"A board has 5 directors A, B, C, D, E, if committees of 3 members each are to be constituted and A is the Chairman, how many committees will involve him?",5,6,7,8,None of the above,1
20,"A board has 5 directors A, B, C, D, E, if committees of 3 members each are to be constituted, how many committees will include two particular members, say both D and E?",3,4,5,6,None of the above,0
21,A committee of 3 boys and 4 girls is to be formed from 5 boys and 6 girls. How many committees are possible?,15,150,300,350,None of the above,1
22,"A committee of 3 boys and 4 girls is to be formed from 5 boys and 6 girls. If one of the girls refused to serve if a certain other girl is chosen, how many committees are possible?",6,20,40,60,None of the above (90),4
23,Evaluate $8C4$,35,70,140,280,None of the above,1
24,Evaluate $?C4$,70,110,126,130,None of the above,2
25,Evaluate $5C2$,5,10,15,20,None of the above,1
26,Evaluate $?P2$,32,56,72,86,None of the above,2
27,Solve $n! / (n-2)!$,n,n!,n²,(n-2)!,None of the above,4
28,Solve $(n-1)! / (n-3)!$,n-1,n-2,n-3,(n-1)!,None of the above,4
29,Which of the following is true?,$nCr = nPr / r!$,$nPr = nCr / r!$,$nCr = nPr * r!$,$nPr = nCr + r!$,None of the above,0
30,What is the coefficient of $x³$ in the expansion of $(1+x)5$?,1,-1,5,10,None of the above,3
31,Find the term $x°$ in the expansion $(1-1/x)5$,1,-1,5,10,None of the above,0
32,Find the term $x?²$ in the expansion of $(x - 1/x)6$,$15x?²$,$-15x?²$,$20x?²$,$-20x?²$,None of the above,0
33,Find the term independent of x in the expansion of [Equation],$-101376x°$,$101376x°$,$111367x°$,$-101367x°$,None of the above,-1
34,Find the term independent of x in the expansion of [Equation],-7920,7920,-8750,8750,None of the above,-1
35,Find the coefficient of $x?5$ in the expansion [Equation],-1,2,4,8,None of the above,-1
36,Find the coefficient of $x5$ in the expansion [Equation],-1,2,4,8,None of the above,-1
37,Expand $(1+x)4$ using Binomial expansion,$1+4x+6x²+4x³+x4$,$1-4x+6x²-4x³+x4$,$1+4x-6x²+4x³-x4$,$1-4x-6x²+4x³+x4$,None of the above,0
38,Which of the following is true about $A \cup B$?,$A \cup B = \{x: x \in A \text{ or } x \in B\}$,$A \cup B = \{x: x \in A \text{ and } x \in B\}$,$A \cup B = \{x: x \in A \text{ and } x \notin B\}$,$A \cup B = \{x: x \notin A \text{ and } x \in B\}$,None of the above,0
39,Which of the following is true about $A \cap B$?,$A \cap B = \{x: x \in A \text{ or } x \in B\}$,$A \cap B = \{x: x \in A \text{ and } x \in B\}$,$A \cap B = \{x: x \in A \text{ and } x \notin B\}$,$A \cap B = \{x: x \notin A \text{ and } x \in B\}$,None of the above,1
40,"Find the size of the power set of a set $A = \{a, b, c\}$",8,16,32,64,None of the above,0
41,"Find the number of elements in the power set of a set $B = \{1, 2, 3, 4\}$",8,16,32,64,None of the above,1
42,"If $A = \{a, e, i, o, u\}$ and $B = \{a, b, c, d, e\}$, find the least possible universal set for A and B.","$\{a, b, c, d, e, i, o, u\}$","$\{a, e\}$","$\{b, c, d, i, o, u\}$","$\{a, b, ..., z\}$",None of the above,0
43,"If $P = \{1, 3, 5, 7\}$ and $Q = \{2, 4, 6, 8\}$, find the least possible universal set for P and Q.","$\{1, 2, 3, 4, 5, 6, 7, 8\}$",$\emptyset$,"$\{1, 3, 5, 7\}$","$\{2, 4, 6, 8\}$",None of the above,0
